Example Number,Gorgias Code,NL Translation
78,"rule(r1, attend_concert, []) :- holiday_season.
rule(r2, book_flight, []) :- holiday_season.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- birthday_today.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- family_gathering.
rule(c3, prefer(c2, c1), []).","When it is the holiday season, I can either attend a concert or book a flight. I generally prefer to attend a concert over booking a flight. However, if it is my birthday today, I prefer to book a flight. If there is a family gathering, I prefer to attend a concert over booking a flight."
79,"rule(r1, go_to(park), []) :- wedding_anniversary.
rule(r2, drive_car, []) :- wedding_anniversary.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- morning_rush.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- important_meeting.
rule(c3, prefer(c2, c1), []).","When it is our wedding anniversary, I can either go to the park or drive the car. Generally, I prefer to go to the park, but if it's during the morning rush, I prefer to drive the car. Additionally, if there is an important meeting, I prefer going to the park over driving the car."
80,"rule(r1, yoga_session, []) :- hot_day.
rule(r2, attend_concert, []) :- hot_day.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- invitation_from_friend.
rule(c1, prefer(p2, p1), []).","When it is a hot day, I can either attend a yoga session or attend a concert. Generally, I prefer to attend a yoga session, but if I receive an invitation from a friend, I prefer to attend a concert."
81,"rule(r1, clean_house, []) :- wedding_anniversary.
rule(r2, go_to(restaurant), []) :- wedding_anniversary.
rule(p1, prefer(r1, r2), []).","When it is your wedding anniversary, you can either clean the house or go to a restaurant. Generally, you prefer to clean the house over going to a restaurant."
82,"rule(r1, book_flight, []) :- expensive_event.
rule(r2, go_shopping, []) :- expensive_event.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- wedding_anniversary.
rule(c1, prefer(p2, p1), []).","When there is an expensive event, I can either book a flight or go shopping. Generally, I prefer to book a flight, but if it's my wedding anniversary, I prefer to go shopping."
83,"rule(r1, attend_meeting, []) :- team_project_due.
rule(r2, go_to(park), []) :- team_project_due.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- rainy_day.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- discount_on_flight.
rule(c3, prefer(c2, c1), []).","""When the team project is due, I can either attend a meeting or go to the park. Generally, I prefer to attend the meeting, but if it is a rainy day, I prefer to go to the park. If there is a discount on a flight, I prefer to attend the meeting over going to the park."""
84,"rule(r1, visit_doctor, []) :- low_budget.
rule(r2, book_flight, []) :- low_budget.
rule(p1, prefer(r1, r2), []).","""When on a low budget, I prefer to visit the doctor over booking a flight."""
85,"rule(r1, cook_dinner, []) :- family_gathering.
rule(r2, visit_family, []) :- family_gathering.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- snowstorm.
rule(c1, prefer(p2, p1), []).","When there is a family gathering, I can either cook dinner or visit family. Generally, I prefer to cook dinner, but if there is a snowstorm, I prefer to visit family."
86,"rule(r1, drive_car, []) :- discount_on_flight.
rule(r2, visit_doctor, []) :- discount_on_flight.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- morning_rush.
rule(c1, prefer(p2, p1), []).","When there is a discount on flights, I can either drive the car or visit the doctor. I generally prefer to drive the car, but if there is a morning rush, I prefer to visit the doctor."
87,"rule(r1, attend_meeting, []) :- wedding_anniversary.
rule(r2, go_to(park), []) :- wedding_anniversary.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- discount_on_flight.
rule(c1, prefer(p2, p1), []).","""When it is my wedding anniversary, I can either attend a meeting or go to the park. Generally, I prefer to attend the meeting, but if there is a discount on a flight, I prefer to go to the park."""
88,"rule(r1, go_shopping, []) :- discount_on_flight.
rule(r2, morning_run, []) :- discount_on_flight.
rule(p1, prefer(r1, r2), []).","""When there is a discount on flights, I can either go shopping or go for a morning run. Generally, I prefer to go shopping over going for a morning run."""
89,"rule(r1, give_presentation, []) :- new_restaurant_to_try.
rule(r2, drive_car, []) :- new_restaurant_to_try.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- hot_day.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- low_budget.
rule(c3, prefer(c2, c1), []).","When there is a new restaurant to try, I can either give a presentation or drive a car. Generally, I prefer to give a presentation, but if it is a hot day, I prefer to drive a car. Additionally, if I have a low budget, I prefer to drive a car over giving a presentation."
90,"rule(r1, cook_dinner, []) :- invitation_from_friend.
rule(r2, buy_groceries, []) :- invitation_from_friend.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- wedding_anniversary.
rule(c1, prefer(p2, p1), []).","""When I receive an invitation from a friend, I can either cook dinner or buy groceries. Generally, I prefer to cook dinner, but if it is our wedding anniversary, I prefer to buy groceries."""
91,"rule(r1, clean_house, []) :- weekend.
rule(r2, visit_doctor, []) :- weekend.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- holiday_season.
rule(c1, prefer(p2, p1), []).","When it is the weekend, I can either clean the house or visit the doctor. Generally, I prefer to clean the house, but during the holiday season, I prefer to visit the doctor."
92,"rule(r1, morning_run, []) :- boss_in_office.
rule(r2, cook_dinner, []) :- boss_in_office.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- birthday_today.
rule(c1, prefer(p2, p1), []).","When the boss is in the office, I can either go for a morning run or cook dinner. Generally, I prefer to go for a morning run, but if it's my birthday today, I prefer to cook dinner."
93,"rule(r1, take_bus, []) :- birthday_today.
rule(r2, buy_groceries, []) :- birthday_today.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- wedding_anniversary.
rule(c1, prefer(p2, p1), []).","When it is my birthday today, I can either take the bus or buy groceries. Generally, I prefer to take the bus, but if it is my wedding anniversary, then I prefer to buy groceries."
94,"rule(r1, yoga_session, []) :- low_budget.
rule(r2, cook_dinner, []) :- low_budget.
rule(p1, prefer(r1, r2), []).","When on a low budget, I prefer to have a yoga session over cooking dinner."
95,"rule(r1, go_to(park), []) :- invitation_from_friend.
rule(r2, book_flight, []) :- invitation_from_friend.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- friend_in_town.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- got_bonus.
rule(c3, prefer(c2, c1), []).","""When I receive an invitation from a friend, I can either go to the park or book a flight. Generally, I prefer to go to the park, but if my friend is in town, I prefer to book a flight. If I receive a bonus, I prefer to go to the park over booking a flight."""
96,"rule(r1, reply_emails, []) :- morning_rush.
rule(r2, yoga_session, []) :- morning_rush.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- snowstorm.
rule(c1, prefer(p2, p1), []).","When there is a morning rush, I can either reply to emails or have a yoga session. Generally, I prefer to reply to emails, but if there is a snowstorm, I prefer to have a yoga session."
97,"rule(r1, book_flight, []) :- expensive_event.
rule(r2, attend_concert, []) :- expensive_event.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- hot_day.
rule(c1, prefer(p2, p1), []).","When there is an expensive event, I can either book a flight or attend a concert. Generally, I prefer to book a flight, but if it is a hot day, I prefer to attend a concert."
98,"rule(r1, go_shopping, []) :- hot_day.
rule(r2, clean_house, []) :- hot_day.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- feeling_sick.
rule(c1, prefer(p2, p1), []).","""When it is a hot day, I can either go shopping or clean the house. Generally, I prefer to go shopping but if I am feeling sick, I prefer to clean the house."""
99,"rule(r1, travel_abroad, []) :- concert_nearby.
rule(r2, go_shopping, []) :- concert_nearby.
rule(p1, prefer(r1, r2), []).","""When there is a concert nearby, I can either travel abroad or go shopping. Generally, I prefer to travel abroad over going shopping."""
100,"rule(r1, go_to(restaurant), []) :- rainy_day.
rule(r2, yoga_session, []) :- rainy_day.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- holiday_season.
rule(c1, prefer(p2, p1), []).","When it is a rainy day, I can either go to a restaurant or attend a yoga session. Generally, I prefer to go to a restaurant, but during the holiday season, I prefer to attend a yoga session."
